League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2027-9-20;30;3;29;2;Pre-Season;1;1;0;50241
0;2027-9-20;25;5;0;4;Pre-Season;1;1;0;50239
0;2027-9-20;3;2;8;6;Pre-Season;1;0;0;50243
0;2027-9-20;12;5;28;2;Pre-Season;1;0;0;50249
0;2027-9-20;14;7;27;1;Pre-Season;1;0;0;50251
0;2027-9-20;7;10;24;2;Pre-Season;1;0;0;50247
0;2027-9-20;10;2;1;5;Pre-Season;1;0;0;50245
0;2027-9-20;19;5;26;1;Pre-Season;1;0;0;50227
0;2027-9-20;17;6;152;0;Pre-Season;1;0;0;50229
0;2027-9-20;23;1;2;4;Pre-Season;1;0;0;50231
0;2027-9-20;124;2;21;3;Pre-Season;1;0;0;50237
0;2027-9-20;31;3;18;0;Pre-Season;1;0;0;50233
0;2027-9-20;20;0;9;4;Pre-Season;1;0;0;50235
0;2027-9-22;17;4;25;1;Pre-Season;1;0;0;50267
0;2027-9-22;29;2;30;4;Pre-Season;1;0;0;50269
0;2027-9-22;28;4;3;6;Pre-Season;1;0;0;50273
0;2027-9-22;23;1;10;7;Pre-Season;1;0;0;50275
0;2027-9-22;9;7;7;5;Pre-Season;1;0;0;50277
0;2027-9-22;12;8;14;5;Pre-Season;1;0;0;50265
0;2027-9-22;8;4;19;5;Pre-Season;1;0;0;50271
0;2027-9-22;1;4;18;2;Pre-Season;1;0;0;50253
0;2027-9-22;2;4;21;5;Pre-Season;1;0;0;50255
0;2027-9-22;26;1;24;4;Pre-Season;1;0;0;50257
0;2027-9-22;20;5;124;2;Pre-Season;1;0;0;50263
0;2027-9-22;27;4;31;3;Pre-Season;1;1;0;50259
0;2027-9-22;0;2;152;5;Pre-Season;1;0;0;50261
0;2027-9-23;7;2;9;5;Pre-Season;1;0;0;50293
0;2027-9-23;18;5;29;2;Pre-Season;1;0;0;50297
0;2027-9-23;26;5;27;3;Pre-Season;1;0;0;50299
0;2027-9-23;19;2;2;3;Pre-Season;1;0;0;50301
