PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
0;2022;47;1;5;18600;3;1;1;0;2;10;161;80
0;2023;47;1;0;0;0;0;0;0;0;0;0;0
0;2023;0;0;5;17928;2;3;0;2;0;20;167;67
0;2024;0;0;4;14380;2;2;0;0;0;9;109;74
0;2025;0;0;2;7200;2;0;0;0;0;6;89;98
0;2026;12;0;2;7112;0;2;0;0;0;10;84;70
0;2027;18;0;1;3600;1;0;0;0;0;2;37;92
8;2021;24;0;0;0;0;0;0;0;0;0;0;0
8;2022;58;1;5;18000;3;2;0;0;1;14;150;73
8;2023;58;1;4;14700;3;1;0;0;1;7;133;89
8;2024;58;1;3;11064;1;1;1;0;0;6;90;75
8;2025;58;1;3;10845;1;2;0;0;0;12;95;53
8;2026;7;0;2;7200;0;2;0;0;0;11;77;58
8;2027;44;1;1;3600;0;1;0;0;0;5;27;44
8;2027;30;0;2;7200;2;0;0;0;0;4;58;81
102;2021;98;2;2;7200;2;0;0;0;0;3;52;73
102;2022;30;0;1;3579;0;1;0;0;0;3;23;56
102;2026;47;1;3;10800;3;0;0;0;0;4;85;81
102;2027;53;1;3;10800;3;0;0;0;1;5;99;98
124;2027;123;1;1;3900;0;0;1;0;0;2;35;85
124;2027;31;0;1;3600;1;0;0;0;1;0;35;100
150;2021;60;1;4;14324;2;2;0;0;0;13;120;62
150;2022;60;1;5;14896;3;1;0;0;0;9;119;69
150;2023;18;0;2;7200;1;1;0;0;0;4;52;74
150;2023;60;1;0;0;0;0;0;0;0;0;0;0
150;2024;60;1;2;7200;1;1;0;0;0;6;61;67
150;2024;18;0;1;3600;1;0;0;0;0;1;27;87
150;2025;18;0;3;10780;1;2;0;1;0;11;101;71
150;2026;26;0;4;14436;1;2;1;1;0;16;114;59
167;2026;32;1;1;3600;1;0;0;0;0;1;33;97
167;2027;48;1;2;7200;2;0;0;0;0;5;64;76
294;2021;31;0;5;17867;3;2;0;1;0;8;130;80
294;2022;31;0;1;3558;0;1;0;0;0;3;31;72
294;2023;31;0;1;3556;0;1;0;1;0;3;27;67
294;2024;14;0;4;14641;3;1;0;1;0;8;122;83
294;2025;14;0;2;7200;2;0;0;0;0;4;63;88
294;2026;14;0;3;10945;1;1;1;0;0;13;80;51
294;2027;124;0;2;4960;0;1;0;0;0;8;35;37
384;2021;19;0;5;18128;2;3;0;0;0;8;114;73
384;2022;19;0;4;14400;4;0;0;0;1;9;85;68
384;2023;19;0;3;10764;1;2;0;0;0;12;86;57
384;2024;28;0;2;7156;1;1;0;1;0;5;61;78
384;2025;26;0;4;12218;2;1;0;0;0;8;120;82
384;2026;124;0;2;7123;1;1;0;0;0;6;54;66
384;2027;21;0;2;7200;2;0;0;0;0;6;58;70
442;2025;123;1;1;3900;0;0;1;0;0;3;36;72
442;2025;31;0;1;3600;0;1;0;0;0;4;40;77
442;2027;12;0;4;15145;2;1;1;0;0;10;159;88
443;2021;56;1;2;7200;1;1;0;0;0;7;67;65
443;2022;56;1;3;10993;0;2;1;0;0;9;125;83
443;2023;56;1;5;18255;4;1;0;1;1;9;173;85
443;2024;21;0;4;14353;2;2;0;0;0;11;128;77
443;2025;21;0;4;15000;1;1;2;0;0;13;120;66
455;2021;39;1;4;14578;4;0;0;0;0;8;134;86
455;2022;39;1;4;14214;1;3;0;1;0;13;152;76
455;2023;45;1;4;11698;1;2;0;1;0;11;99;61
455;2024;45;1;5;15013;1;3;0;1;0;14;150;63
455;2025;45;1;2;7129;1;1;0;0;1;3;42;69
455;2026;45;1;4;13387;1;3;0;0;0;23;136;46
457;2021;38;1;4;14336;2;2;0;0;0;11;109;66
457;2022;38;1;4;14535;3;1;0;0;0;10;119;70
457;2023;36;1;3;10778;1;2;0;1;0;12;127;73
457;2023;3;0;2;5072;1;0;0;0;0;4;32;56
457;2024;3;0;3;8665;1;1;0;0;0;10;93;68
457;2025;23;0;6;17674;3;1;0;2;0;15;178;76
457;2026;23;0;2;7200;1;1;0;0;1;4;72;87
457;2027;32;1;3;11098;1;1;1;0;0;9;95;64
458;2023;32;1;3;11209;1;1;1;0;0;10;83;58
458;2026;54;1;5;14632;1;4;0;0;0;14;125;59
458;2027;44;1;1;3600;0;1;0;0;0;4;33;58
526;2021;59;1;4;14400;3;1;0;0;1;6;134;84
526;2022;59;1;4;11340;0;2;1;1;0;11;93;54
526;2023;59;1;4;14400;3;1;0;0;1;11;122;73
526;2024;59;1;4;14700;2;2;0;0;0;13;159;80
526;2025;59;1;3;11056;1;2;0;1;0;10;105;68
526;2026;1;0;3;11100;3;0;0;0;0;8;97;80
526;2027;59;1;2;7200;2;0;0;0;0;4;28;54
530;2021;12;0;5;17862;2;3;0;2;2;7;94;72
530;2022;12;0;1;3600;1;0;0;0;0;1;14;64
530;2023;28;0;2;6278;1;1;0;0;0;8;48;50
530;2024;28;0;2;7200;2;0;0;0;1;3;56;85
530;2025;28;0;2;4059;1;0;0;0;0;2;44;76
530;2026;28;0;1;3538;0;1;0;1;0;3;44;94
530;2027;28;0;4;14284;1;3;0;3;0;13;151;81
531;2021;32;1;2;6306;1;0;0;0;0;2;47;73
536;2021;5;0;7;22631;5;2;0;0;3;12;130;69
